text,intensity,pos_
outraged,"0,964",ADJ
hateful,"0,94",ADJ
furious,"0,929",ADJ
enraged,"0,927",ADJ
fuckoff,"0,912",ADJ
homicidal,"0,906",ADJ
hostile,"0,898",ADJ
explosive,"0,894",ADJ
ferocious,"0,894",ADJ
obliterated,"0,894",ADJ
vengeful,"0,894",ADJ
combative,"0,891",ADJ
vicious,"0,884",ADJ
abhorrent,"0,875",ADJ
pissoff,"0,875",ADJ
bloodthirsty,"0,875",ADJ
angriest,"0,864",ADJ
malicious,"0,859",ADJ
loathsome,"0,857",ADJ
murderous,"0,853",ADJ
irate,"0,844",ADJ
violent,"0,844",ADJ
tumultuous,"0,844",ADJ
belligerent,"0,841",ADJ
rabid,"0,833",ADJ
horrid,"0,833",ADJ
despicable,"0,828",ADJ
tyrannical,"0,828",ADJ
demonic,"0,828",ADJ
satanic,"0,828",ADJ
ruinous,"0,825",ADJ
angry,"0,824",ADJ
livid,"0,821",ADJ
vindictive,"0,819",ADJ
hateyou,"0,818",ADJ
venomous,"0,818",ADJ
abhor,"0,816",ADJ
savage,"0,814",ADJ
barbaric,"0,812",ADJ
fierce,"0,812",ADJ
pieceofshit,"0,81",ADJ
ruthless,"0,797",ADJ
destructive,"0,797",ADJ
villainous,"0,797",ADJ
diabolical,"0,788",ADJ
retaliatory,"0,788",ADJ
sinister,"0,781",ADJ
hellish,"0,781",ADJ
bloody,"0,781",ADJ
treacherous,"0,779",ADJ
horrific,"0,773",ADJ
deplorable,"0,766",ADJ
anarchist,"0,765",ADJ
contemptible,"0,764",ADJ
shittest,"0,76",ADJ
cruel,"0,758",ADJ
soangry,"0,758",ADJ
rant,"0,758",ADJ
deadly,"0,758",ADJ
crazed,"0,75",ADJ
revolting,"0,75",ADJ
profane,"0,75",ADJ
horrible,"0,742",ADJ
menacing,"0,735",ADJ
damn,"0,735",ADJ
riotous,"0,734",ADJ
vehement,"0,734",ADJ
warlike,"0,728",ADJ
malevolent,"0,721",ADJ
disastrous,"0,72",ADJ
brutal,"0,719",ADJ
spiteful,"0,719",ADJ
criminal,"0,714",ADJ
fatal,"0,712",ADJ
blasphemous,"0,712",ADJ
irritated,"0,706",ADJ
evil,"0,706",ADJ
atrocious,"0,706",ADJ
deranged,"0,706",ADJ
aggravated,"0,703",ADJ
armed,"0,7",ADJ
insidious,"0,691",ADJ
contemptuous,"0,69",ADJ
terrible,"0,688",ADJ
mad,"0,688",ADJ
lunatic,"0,688",ADJ
makesmemad,"0,688",ADJ
expletive,"0,672",ADJ
nasty,"0,672",ADJ
poisonous,"0,672",ADJ
dastardly,"0,672",ADJ
egregious,"0,672",ADJ
harmful,"0,672",ADJ
aggressive,"0,667",ADJ
cutthroat,"0,667",ADJ
irritable,"0,667",ADJ
odious,"0,667",ADJ
malignant,"0,656",ADJ
cranky,"0,653",ADJ
twat,"0,644",ADJ
indignant,"0,641",ADJ
inexcusable,"0,641",ADJ
suicidal,"0,636",ADJ
frustrated,"0,636",ADJ
disgusting,"0,636",ADJ
grievous,"0,632",ADJ
agitated,"0,63",ADJ
defamatory,"0,625",ADJ
arsehole,"0,624",ADJ
insane,"0,621",ADJ
injurious,"0,609",ADJ
intolerable,"0,609",ADJ
adverse,"0,609",ADJ
asshole,"0,606",ADJ
antagonistic,"0,606",ADJ
irritating,"0,606",ADJ
tiredofit,"0,603",ADJ
hurtful,"0,603",ADJ
spite,"0,6",ADJ
intrusive,"0,598",ADJ
miserable,"0,594",ADJ
guilty,"0,591",ADJ
depraved,"0,591",ADJ
immoral,"0,591",ADJ
recalcitrant,"0,588",ADJ
accursed,"0,588",ADJ
soannoyed,"0,588",ADJ
brute,"0,581",ADJ
defiant,"0,578",ADJ
contentious,"0,578",ADJ
pernicious,"0,576",ADJ
chaotic,"0,576",ADJ
gory,"0,576",ADJ
friggen,"0,575",ADJ
oppressive,"0,574",ADJ
scandalous,"0,574",ADJ
unfair,"0,571",ADJ
intolerant,"0,564",ADJ
grouchy,"0,562",ADJ
frightful,"0,562",ADJ
malign,"0,562",ADJ
bluddy,"0,562",ADJ
dreadful,"0,562",ADJ
bearish,"0,562",ADJ
derogatory,"0,562",ADJ
uncontrollable,"0,561",ADJ
jeopardize,"0,561",ADJ
devastating,"0,561",ADJ
ticked,"0,556",ADJ
offensive,"0,549",ADJ
fustrated,"0,547",ADJ
overbearing,"0,547",ADJ
rebel,"0,547",ADJ
disgraceful,"0,547",ADJ
shrill,"0,547",ADJ
preposterous,"0,547",ADJ
annoyin,"0,545",ADJ
resentful,"0,545",ADJ
callous,"0,545",ADJ
adversary,"0,545",ADJ
foul,"0,545",ADJ
entangled,"0,544",ADJ
irreconcilable,"0,543",ADJ
obstructive,"0,542",ADJ
incendiary,"0,533",ADJ
prejudicial,"0,531",ADJ
unbridled,"0,531",ADJ
reckless,"0,531",ADJ
dictatorial,"0,53",ADJ
unjustifiable,"0,53",ADJ
bigoted,"0,53",ADJ
unjust,"0,53",ADJ
fiesty,"0,53",ADJ
hot,"0,529",ADJ
dishonest,"0,516",ADJ
idiotic,"0,516",ADJ
tortious,"0,516",ADJ
inimical,"0,516",ADJ
disrespectful,"0,516",ADJ
unkind,"0,515",ADJ
frustrating,"0,515",ADJ
hangry,"0,515",ADJ
crazy,"0,5",ADJ
frenzied,"0,5",ADJ
delusional,"0,5",ADJ
intractable,"0,5",ADJ
bout,"0,5",ADJ
brazen,"0,5",ADJ
patronising,"0,5",ADJ
unruly,"0,5",ADJ
