tweet_id,sentiment,author,content
1956967341,empty,xoshayzers,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
1956967666,sadness,wannamama,Layin n bed with a headache  ughhhh...waitin on your call...
1956967696,sadness,coolfunky,Funeral ceremony...gloomy friday...
1956967789,enthusiasm,czareaquino,wants to hang out with friends SOON!
1956968416,neutral,xkilljoyx,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
1956968477,worry,xxxPEACHESxxx,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
1956968487,sadness,ShansBee,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
1956968636,worry,mcsleazy,Hmmm. http://www.djhero.com/ is down
1956969035,sadness,nic0lepaula,@charviray Charlene my love. I miss you
1956969172,sadness,Ingenue_Em,@kelcouch I'm sorry  at least it's Friday?
1956969456,neutral,feinyheiny,cant fall asleep
1956969531,worry,dudeitsmanda,Choked on her retainers
1956970047,sadness,Danied32,Ugh! I have to beat this stupid song to get to the next  rude!
1956970424,sadness,Samm_xo,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
1956970860,surprise,okiepeanut93,Got the news
1956971077,sadness,Sim_34,The storm is here and the electricity is gone
1956971170,love,poppygallico,@annarosekerr agreed
1956971206,sadness,brokenangel1982,So sleepy again and it's not even that late. I fail once again.
1956971473,worry,LCJ82,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
1956971586,sadness,cleepow,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
1956971981,worry,andreagauster,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
1956972097,fun,schiz0phren1c,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
1956972116,neutral,jansc,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
1956972270,worry,sweet8181,I ate Something I don't know what it is... Why do I keep Telling things about food
1956972359,sadness,xamountoftruth,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
1956972444,worry,jomama6881,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
1956972557,sadness,LilithGaea,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
1956972884,worry,oONEPTUNEOo,Damm servers still down  i need to hit 80 before all the koxpers pass me
1956973598,sadness,username_origin,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
1956973690,worry,catchtheapple,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
1956974706,hate,MavrickAces,It is so annoying when she starts typing on her computer in the middle of the night!
1956975441,neutral,LovableKeKe,@cynthia_123 i cant sleep
1956975860,neutral,analalalah,I missed the bl***y bus!!!!!!!!
1956975876,neutral,jubaldo,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
1956975927,neutral,mikhaelaela,SoCal!  stoked. or maybe not.. tomorrow
